調査年,地域,C2207_従業者数（経済センサス‐基礎調査結果）【人】,C220848_従業者数（民営）（生活関連サービス業，娯楽業）【人】,C620118_付加価値額（民営）（生活関連サービス業，娯楽業）【百万円】,F2701_自市区町村で従業している就業者数【人】,F2702_県内他市区町村で従業している就業者数【人】,F2703_他県で従業している就業者数【人】
鹿児島県 曽於市,***,18047,***,,,,
鹿児島県 霧島市,***,40313,***,,,,
鹿児島県 いちき串木野市,***,11177,***,,,,
鹿児島県 南さつま市,***,15294,***,,,,
鹿児島県 志布志市,***,14422,***,,,,
鹿児島県 奄美市,***,21782,***,,,,
鹿児島県 南九州市,***,18218,***,,,,
鹿児島県 伊佐市,***,14136,***,,,,
鹿児島県 姶良市,***,18142,***,,,,
鹿児島県 三島村,***,295,***,,,,
鹿児島県 十島村,***,412,***,,,,
鹿児島県 さつま町,***,11018,***,,,,
鹿児島県 長島町,***,6024,***,,,,
鹿児島県 湧水町,***,5077,***,,,,
鹿児島県 大崎町,***,6209,***,,,,
鹿児島県 東串良町,***,2917,***,,,,
鹿児島県 錦江町,***,4473,***,,,,
鹿児島県 南大隅町,***,4949,***,,,,
鹿児島県 肝付町,***,7078,***,,,,
鹿児島県 中種子町,***,5148,***,,,,
鹿児島県 南種子町,***,3778,***,,,,
鹿児島県 屋久島町,***,6373,***,,,,
鹿児島県 大和村,***,588,***,,,,
鹿児島県 宇検村,***,945,***,,,,
鹿児島県 瀬戸内町,***,4858,***,,,,
鹿児島県 龍郷町,***,1686,***,,,,
鹿児島県 喜界町,***,4020,***,,,,
鹿児島県 徳之島町,***,5455,***,,,,
鹿児島県 天城町,***,2837,***,,,,
鹿児島県 伊仙町,***,2884,***,,,,
鹿児島県 和泊町,***,3812,***,,,,
鹿児島県 知名町,***,3259,***,,,,
鹿児島県 与論町,***,2878,***,,,,
沖縄県 那覇市,***,102958,***,,,,
沖縄県 宜野湾市,***,15132,***,,,,
沖縄県 石垣市,***,19280,***,,,,
沖縄県 浦添市,***,21298,***,,,,
沖縄県 名護市,***,20425,***,,,,
沖縄県 糸満市,***,12982,***,,,,
沖縄県 沖縄市,***,28253,***,,,,
沖縄県 豊見城市,***,7210,***,,,,
沖縄県 うるま市,***,21386,***,,,,
沖縄県 宮古島市,***,21984,***,,,,
沖縄県 南城市,***,6850,***,,,,
沖縄県 国頭村,***,2457,***,,,,
沖縄県 大宜味村,***,1099,***,,,,
沖縄県 東村,***,820,***,,,,
沖縄県 今帰仁村,***,3079,***,,,,
沖縄県 本部町,***,5256,***,,,,
沖縄県 恩納村,***,3042,***,,,,
沖縄県 宜野座村,***,1330,***,,,,
沖縄県 金武町,***,2663,***,,,,
沖縄県 伊江村,***,2509,***,,,,
沖縄県 読谷村,***,6731,***,,,,
沖縄県 嘉手納町,***,2361,***,,,,
沖縄県 北谷町,***,3557,***,,,,
沖縄県 北中城村,***,2010,***,,,,
沖縄県 中城村,***,2342,***,,,,
沖縄県 西原町,***,4816,***,,,,
沖縄県 与那原町,***,2119,***,,,,
沖縄県 南風原町,***,5119,***,,,,
沖縄県 渡嘉敷村,***,342,***,,,,
沖縄県 座間味村,***,484,***,,,,
沖縄県 粟国村,***,314,***,,,,
沖縄県 渡名喜村,***,339,***,,,,
沖縄県 南大東村,***,888,***,,,,
沖縄県 北大東村,***,362,***,,,,
沖縄県 伊平屋村,***,636,***,,,,
沖縄県 伊是名村,***,995,***,,,,
沖縄県 久米島町,***,3804,***,,,,
沖縄県 八重瀬町,***,4166,***,,,,
沖縄県 多良間村,***,705,***,,,,
沖縄県 竹富町,***,1897,***,,,,
沖縄県 与那国町,***,913,***,,,,
北海道 札幌市,***,366499,***,,,,
北海道 札幌市 中央区,***,68318,***,,,,
北海道 札幌市 北区,***,45572,***,,,,
北海道 札幌市 東区,***,53928,***,,,,
北海道 札幌市 白石区,***,44403,***,,,,
北海道 札幌市 豊平区,***,54380,***,,,,
北海道 札幌市 南区,***,28241,***,,,,
北海道 札幌市 西区,***,39587,***,,,,
北海道 札幌市 厚別区,***,15070,***,,,,
北海道 札幌市 手稲区,***,17000,***,,,,
北海道 函館市,***,137720,***,,,,
北海道 小樽市,***,62151,***,,,,
北海道 旭川市,***,164269,***,,,,
北海道 室蘭市,***,46481,***,,,,
北海道 釧路市,***,94345,***,,,,
北海道 帯広市,***,77110,***,,,,
北海道 北見市,***,59683,***,,,,
北海道 夕張市,***,8175,***,,,,
北海道 岩見沢市,***,34897,***,,,,
北海道 網走市,***,21224,***,,,,
北海道 留萌市,***,14983,***,,,,
北海道 苫小牧市,***,71761,***,,,,
北海道 稚内市,***,24163,***,,,,
北海道 美唄市,***,13962,***,,,,
北海道 芦別市,***,10600,***,,,,
北海道 江別市,***,22364,***,,,,
北海道 赤平市,***,7170,***,,,,
北海道 紋別市,***,15063,***,,,,
北海道 士別市,***,13941,***,,,,
北海道 名寄市,***,17480,***,,,,
北海道 三笠市,***,5217,***,,,,
北海道 根室市,***,18805,***,,,,
北海道 千歳市,***,36150,***,,,,
北海道 滝川市,***,20354,***,,,,
北海道 砂川市,***,8042,***,,,,
北海道 歌志内市,***,2536,***,,,,
北海道 深川市,***,14128,***,,,,
北海道 富良野市,***,13342,***,,,,
北海道 登別市,***,13196,***,,,,
北海道 恵庭市,***,18837,***,,,,
北海道 伊達市,***,13083,***,,,,
北海道 北広島市,***,8815,***,,,,
北海道 石狩市,***,11282,***,,,,
北海道 北斗市,***,10237,***,,,,
北海道 当別町,***,6324,***,,,,
北海道 新篠津村,***,1933,***,,,,
北海道 松前町,***,4933,***,,,,
北海道 福島町,***,2886,***,,,,
北海道 知内町,***,2566,***,,,,
北海道 木古内町,***,2726,***,,,,
北海道 七飯町,***,6222,***,,,,
北海道 鹿部町,***,2366,***,,,,
北海道 森町,***,9243,***,,,,
北海道 八雲町,***,10860,***,,,,
北海道 長万部町,***,4061,***,,,,
北海道 江差町,***,5264,***,,,,
北海道 上ノ国町,***,2615,***,,,,
北海道 厚沢部町,***,2824,***,,,,
北海道 乙部町,***,2395,***,,,,
北海道 奥尻町,***,2162,***,,,,
北海道 今金町,***,3836,***,,,,
北海道 せたな町,***,5856,***,,,,
北海道 島牧村,***,1139,***,,,,
北海道 寿都町,***,1908,***,,,,
北海道 黒松内町,***,1724,***,,,,
北海道 蘭越町,***,3353,***,,,,
北海道 ニセコ町,***,2230,***,,,,
北海道 真狩村,***,1478,***,,,,
北海道 留寿都村,***,1429,***,,,,
北海道 喜茂別町,***,1621,***,,,,
北海道 京極町,***,1856,***,,,,
北海道 倶知安町,***,8806,***,,,,
北海道 共和町,***,3021,***,,,,
北海道 岩内町,***,7786,***,,,,
北海道 泊村,***,820,***,,,,
北海道 神恵内村,***,624,***,,,,
北海道 積丹町,***,1617,***,,,,
北海道 古平町,***,2250,***,,,,
北海道 仁木町,***,2055,***,,,,
北海道 余市町,***,9696,***,,,,
北海道 赤井川村,***,867,***,,,,
北海道 南幌町,***,2379,***,,,,
北海道 奈井江町,***,3132,***,,,,
北海道 上砂川町,***,1541,***,,,,
北海道 由仁町,***,3353,***,,,,
北海道 長沼町,***,5772,***,,,,
北海道 栗山町,***,7345,***,,,,
北海道 月形町,***,2367,***,,,,
北海道 浦臼町,***,1547,***,,,,
北海道 新十津川町,***,3289,***,,,,
北海道 妹背牛町,***,2328,***,,,,
北海道 秩父別町,***,1756,***,,,,
北海道 雨竜町,***,1810,***,,,,
北海道 北竜町,***,1558,***,,,,
北海道 沼田町,***,2636,***,,,,
北海道 鷹栖町,***,2644,***,,,,
北海道 東神楽町,***,2164,***,,,,
北海道 当麻町,***,3493,***,,,,
北海道 比布町,***,2152,***,,,,
北海道 愛別町,***,2187,***,,,,
北海道 上川町,***,3812,***,,,,
北海道 東川町,***,3056,***,,,,
北海道 美瑛町,***,6316,***,,,,
北海道 上富良野町,***,6362,***,,,,
北海道 中富良野町,***,2998,***,,,,
北海道 南富良野町,***,1754,***,,,,
北海道 占冠村,***,1914,***,,,,
北海道 和寒町,***,2881,***,,,,
北海道 剣淵町,***,2422,***,,,,
北海道 下川町,***,2427,***,,,,
北海道 美深町,***,3672,***,,,,
北海道 音威子府村,***,752,***,,,,
北海道 中川町,***,1487,***,,,,
北海道 幌加内町,***,1464,***,,,,
北海道 増毛町,***,2967,***,,,,
北海道 小平町,***,2312,***,,,,
北海道 苫前町,***,2687,***,,,,
北海道 羽幌町,***,5241,***,,,,
北海道 初山別村,***,1025,***,,,,
北海道 遠別町,***,2382,***,,,,
北海道 天塩町,***,2708,***,,,,
北海道 猿払村,***,1726,***,,,,
北海道 浜頓別町,***,2664,***,,,,
北海道 中頓別町,***,1399,***,,,,
北海道 枝幸町,***,5934,***,,,,
北海道 豊富町,***,2974,***,,,,
北海道 礼文町,***,3185,***,,,,
北海道 利尻町,***,2980,***,,,,
北海道 利尻富士町,***,2547,***,,,,
北海道 幌延町,***,1729,***,,,,
北海道 美幌町,***,11551,***,,,,
北海道 津別町,***,3863,***,,,,
北海道 斜里町,***,7770,***,,,,
北海道 清里町,***,2978,***,,,,
北海道 小清水町,***,3347,***,,,,
北海道 訓子府町,***,3372,***,,,,
北海道 置戸町,***,2390,***,,,,
北海道 佐呂間町,***,4189,***,,,,
北海道 遠軽町,***,11620,***,,,,
北海道 湧別町,***,6048,***,,,,
北海道 滝上町,***,2282,***,,,,
北海道 興部町,***,2913,***,,,,
北海道 西興部村,***,637,***,,,,
北海道 雄武町,***,3405,***,,,,
北海道 大空町,***,4485,***,,,,
北海道 豊浦町,***,2300,***,,,,
北海道 壮瞥町,***,1731,***,,,,
北海道 白老町,***,8703,***,,,,
北海道 厚真町,***,3188,***,,,,
北海道 洞爺湖町,***,5770,***,,,,
北海道 安平町,***,3913,***,,,,
北海道 むかわ町,***,6098,***,,,,
北海道 日高町,***,8496,***,,,,
北海道 平取町,***,3701,***,,,,
北海道 新冠町,***,3021,***,,,,
北海道 浦河町,***,8919,***,,,,
北海道 様似町,***,3489,***,,,,
北海道 えりも町,***,3807,***,,,,
北海道 新ひだか町,***,14475,***,,,,
北海道 音更町,***,10562,***,,,,
北海道 士幌町,***,3553,***,,,,
北海道 上士幌町,***,3088,***,,,,
北海道 鹿追町,***,3340,***,,,,
北海道 新得町,***,4270,***,,,,
北海道 清水町,***,5799,***,,,,
北海道 芽室町,***,7054,***,,,,
北海道 中札内村,***,2202,***,,,,
北海道 更別村,***,1857,***,,,,
北海道 大樹町,***,3758,***,,,,
北海道 広尾町,***,5116,***,,,,
北海道 幕別町,***,8212,***,,,,
北海道 池田町,***,4362,***,,,,
北海道 豊頃町,***,2655,***,,,,
北海道 本別町,***,5734,***,,,,
北海道 足寄町,***,5197,***,,,,
北海道 陸別町,***,2014,***,,,,
北海道 浦幌町,***,4091,***,,,,
北海道 釧路町,***,5010,***,,,,
北海道 厚岸町,***,7373,***,,,,
北海道 浜中町,***,4953,***,,,,
北海道 標茶町,***,5297,***,,,,
北海道 弟子屈町,***,5529,***,,,,
北海道 鶴居村,***,1370,***,,,,
北海道 白糠町,***,5132,***,,,,
北海道 別海町,***,9352,***,,,,
北海道 中標津町,***,10674,***,,,,
北海道 標津町,***,3479,***,,,,
北海道 羅臼町,***,4496,***,,,,
青森県 青森市,***,136786,***,,,,
青森県 弘前市,***,82763,***,,,,
青森県 八戸市,***,111217,***,,,,
青森県 黒石市,***,16550,***,,,,
青森県 五所川原市,***,25918,***,,,,
青森県 十和田市,***,30557,***,,,,
青森県 三沢市,***,18365,***,,,,
青森県 むつ市,***,27667,***,,,,
青森県 つがる市,***,17305,***,,,,
青森県 平川市,***,14021,***,,,,
青森県 平内町,***,6573,***,,,,
青森県 今別町,***,1784,***,,,,
青森県 蓬田村,***,1384,***,,,,
青森県 外ヶ浜町,***,4084,***,,,,
青森県 鰺ヶ沢町,***,6279,***,,,,
青森県 深浦町,***,5456,***,,,,
青森県 西目屋村,***,889,***,,,,
青森県 藤崎町,***,5980,***,,,,
青森県 大鰐町,***,5332,***,,,,
青森県 田舎館村,***,2872,***,,,,
青森県 板柳町,***,7635,***,,,,
青森県 鶴田町,***,6903,***,,,,
青森県 中泊町,***,7092,***,,,,
青森県 野辺地町,***,5781,***,,,,
青森県 七戸町,***,7933,***,,,,
青森県 六戸町,***,3689,***,,,,
青森県 横浜町,***,2673,***,,,,
青森県 東北町,***,8276,***,,,,
青森県 六ヶ所村,***,4075,***,,,,
青森県 おいらせ町,***,5116,***,,,,
青森県 大間町,***,3103,***,,,,
青森県 東通村,***,2726,***,,,,
青森県 風間浦村,***,1246,***,,,,
青森県 佐井村,***,1741,***,,,,
青森県 三戸町,***,6108,***,,,,
青森県 五戸町,***,8722,***,,,,
青森県 田子町,***,3783,***,,,,
青森県 南部町,***,7893,***,,,,
青森県 階上町,***,2534,***,,,,
青森県 新郷村,***,1815,***,,,,
岩手県 盛岡市,***,115638,***,,,,
岩手県 宮古市,***,31034,***,,,,
岩手県 大船渡市,***,21936,***,,,,
岩手県 花巻市,***,46843,***,,,,
岩手県 北上市,***,34059,***,,,,
岩手県 久慈市,***,18241,***,,,,
岩手県 遠野市,***,17437,***,,,,
岩手県 一関市,***,65345,***,,,,
岩手県 陸前高田市,***,10939,***,,,,
岩手県 釜石市,***,22886,***,,,,
岩手県 二戸市,***,16394,***,,,,
岩手県 八幡平市,***,15087,***,,,,
岩手県 奥州市,***,57969,***,,,,
岩手県 滝沢市,***,8934,***,,,,
岩手県 雫石町,***,8233,***,,,,
岩手県 葛巻町,***,4590,***,,,,
岩手県 岩手町,***,8307,***,,,,
岩手県 紫波町,***,11215,***,,,,
岩手県 矢巾町,***,6340,***,,,,
岩手県 西和賀町,***,4319,***,,,,
岩手県 金ケ崎町,***,6885,***,,,,
岩手県 平泉町,***,3324,***,,,,
岩手県 住田町,***,3958,***,,,,
岩手県 大槌町,***,5874,***,,,,
岩手県 山田町,***,8829,***,,,,
岩手県 岩泉町,***,6984,***,,,,
岩手県 田野畑村,***,2171,***,,,,
岩手県 普代村,***,1567,***,,,,
岩手県 軽米町,***,5680,***,,,,
岩手県 野田村,***,1899,***,,,,
岩手県 九戸村,***,3708,***,,,,
岩手県 洋野町,***,6715,***,,,,
岩手県 一戸町,***,8021,***,,,,
宮城県 仙台市,***,240709,***,,,,
宮城県 仙台市 青葉区,***,96180,***,,,,
宮城県 仙台市 宮城野区,***,45638,***,,,,
宮城県 仙台市 若林区,***,33349,***,,,,
宮城県 仙台市 太白区,***,39805,***,,,,
宮城県 仙台市 泉区,***,25737,***,,,,
宮城県 石巻市,***,70567,***,,,,
宮城県 塩竈市,***,16828,***,,,,
宮城県 気仙沼市,***,37980,***,,,,
宮城県 白石市,***,16408,***,,,,
宮城県 名取市,***,13968,***,,,,
宮城県 角田市,***,12715,***,,,,
宮城県 多賀城市,***,11512,***,,,,
宮城県 岩沼市,***,10187,***,,,,
宮城県 登米市,***,34628,***,,,,
宮城県 栗原市,***,33702,***,,,,
宮城県 東松島市,***,10676,***,,,,
宮城県 大崎市,***,51506,***,,,,
宮城県 富谷市,***,3200,***,,,,
宮城県 蔵王町,***,5341,***,,,,
宮城県 七ヶ宿町,***,1057,***,,,,
宮城県 大河原町,***,5500,***,,,,
宮城県 村田町,***,4556,***,,,,
宮城県 柴田町,***,9835,***,,,,
宮城県 川崎町,***,4374,***,,,,
宮城県 丸森町,***,7171,***,,,,
宮城県 亘理町,***,8948,***,,,,
宮城県 山元町,***,5285,***,,,,
宮城県 松島町,***,4758,***,,,,
宮城県 七ヶ浜町,***,3036,***,,,,
宮城県 利府町,***,2655,***,,,,
宮城県 大和町,***,6229,***,,,,
宮城県 大郷町,***,3080,***,,,,
宮城県 大衡村,***,1926,***,,,,
宮城県 色麻町,***,2846,***,,,,
宮城県 加美町,***,10920,***,,,,
宮城県 涌谷町,***,7201,***,,,,
宮城県 美里町,***,8188,***,,,,
宮城県 女川町,***,5833,***,,,,
宮城県 南三陸町,***,8446,***,,,,
秋田県 秋田市,***,141422,***,,,,
秋田県 能代市,***,30449,***,,,,
秋田県 横手市,***,46762,***,,,,
秋田県 大館市,***,38062,***,,,,
秋田県 男鹿市,***,15943,***,,,,
秋田県 湯沢市,***,27285,***,,,,
秋田県 鹿角市,***,19810,***,,,,
秋田県 由利本荘市,***,38321,***,,,,
秋田県 潟上市,***,8504,***,,,,
秋田県 大仙市,***,40680,***,,,,
秋田県 北秋田市,***,20313,***,,,,
秋田県 にかほ市,***,12399,***,,,,
秋田県 仙北市,***,15337,***,,,,
秋田県 小坂町,***,2979,***,,,,
秋田県 上小阿仁村,***,1662,***,,,,
秋田県 藤里町,***,2142,***,,,,
秋田県 三種町,***,9039,***,,,,
秋田県 八峰町,***,3851,***,,,,
秋田県 五城目町,***,4968,***,,,,
秋田県 八郎潟町,***,2392,***,,,,
秋田県 井川町,***,1925,***,,,,
秋田県 大潟村,***,1738,***,,,,
秋田県 美郷町,***,9376,***,,,,
秋田県 羽後町,***,8845,***,,,,
秋田県 東成瀬村,***,1316,***,,,,
山形県 山形市,***,115091,***,,,,
山形県 米沢市,***,46368,***,,,,
山形県 鶴岡市,***,64105,***,,,,
山形県 酒田市,***,54800,***,,,,
山形県 新庄市,***,19653,***,,,,
山形県 寒河江市,***,16326,***,,,,
山形県 上山市,***,14670,***,,,,
山形県 村山市,***,12470,***,,,,
山形県 長井市,***,15902,***,,,,
山形県 天童市,***,21368,***,,,,
山形県 東根市,***,17429,***,,,,
山形県 尾花沢市,***,11168,***,,,,
山形県 南陽市,***,15148,***,,,,
山形県 山辺町,***,4641,***,,,,
山形県 中山町,***,3129,***,,,,
山形県 河北町,***,7939,***,,,,
山形県 西川町,***,3152,***,,,,
山形県 朝日町,***,4819,***,,,,
山形県 大江町,***,3978,***,,,,
山形県 大石田町,***,3640,***,,,,
山形県 金山町,***,3000,***,,,,
山形県 最上町,***,5584,***,,,,
山形県 舟形町,***,2413,***,,,,
山形県 真室川町,***,4684,***,,,,
山形県 大蔵村,***,1962,***,,,,
山形県 鮭川村,***,2469,***,,,,
山形県 戸沢村,***,2640,***,,,,
山形県 高畠町,***,11006,***,,,,
山形県 川西町,***,7631,***,,,,
山形県 小国町,***,5939,***,,,,
山形県 白鷹町,***,7542,***,,,,
山形県 飯豊町,***,3719,***,,,,
山形県 三川町,***,2670,***,,,,
山形県 庄内町,***,9365,***,,,,
山形県 遊佐町,***,7073,***,,,,
福島県 福島市,***,132088,***,,,,
福島県 会津若松市,***,60767,***,,,,
福島県 郡山市,***,146026,***,,,,
福島県 いわき市,***,163828,***,,,,
福島県 白河市,***,24077,***,,,,
福島県 須賀川市,***,28355,***,,,,
福島県 喜多方市,***,24352,***,,,,
福島県 相馬市,***,17119,***,,,,
福島県 二本松市,***,24431,***,,,,
福島県 田村市,***,19780,***,,,,
福島県 南相馬市,***,30579,***,,,,
福島県 伊達市,***,25798,***,,,,
福島県 本宮市,***,9701,***,,,,
福島県 桑折町,***,4487,***,,,,
福島県 国見町,***,4080,***,,,,
福島県 川俣町,***,8443,***,,,,
福島県 大玉村,***,2430,***,,,,
福島県 鏡石町,***,3982,***,,,,
福島県 天栄村,***,2378,***,,,,
福島県 下郷町,***,3740,***,,,,
福島県 檜枝岐村,***,480,***,,,,
福島県 只見町,***,3274,***,,,,
福島県 南会津町,***,11129,***,,,,
福島県 北塩原村,***,1384,***,,,,
福島県 西会津町,***,4800,***,,,,
福島県 磐梯町,***,1609,***,,,,
福島県 猪苗代町,***,7883,***,,,,
福島県 会津坂下町,***,8496,***,,,,
福島県 湯川村,***,1175,***,,,,
福島県 柳津町,***,2090,***,,,,
福島県 三島町,***,1298,***,,,,
福島県 金山町,***,1949,***,,,,
福島県 昭和村,***,1144,***,,,,
福島県 会津美里町,***,9241,***,,,,
福島県 西郷村,***,4761,***,,,,
福島県 泉崎村,***,2001,***,,,,
福島県 中島村,***,1690,***,,,,
福島県 矢吹町,***,6937,***,,,,
福島県 棚倉町,***,6950,***,,,,
福島県 矢祭町,***,2934,***,,,,
福島県 塙町,***,4958,***,,,,
福島県 鮫川村,***,2002,***,,,,
福島県 石川町,***,9069,***,,,,
福島県 玉川村,***,2776,***,,,,
福島県 平田村,***,3752,***,,,,
福島県 浅川町,***,2897,***,,,,
福島県 古殿町,***,3430,***,,,,
福島県 三春町,***,6183,***,,,,
福島県 小野町,***,6037,***,,,,
福島県 広野町,***,1912,***,,,,
福島県 楢葉町,***,2771,***,,,,
福島県 富岡町,***,5234,***,,,,
福島県 川内村,***,1711,***,,,,
福島県 大熊町,***,3800,***,,,,
福島県 双葉町,***,2259,***,,,,
福島県 浪江町,***,8780,***,,,,
福島県 葛尾村,***,799,***,,,,
福島県 新地町,***,2563,***,,,,
福島県 飯舘村,***,3478,***,,,,
茨城県 水戸市,***,99701,***,,,,
茨城県 日立市,***,89285,***,,,,
茨城県 土浦市,***,44702,***,,,,
茨城県 古河市,***,41488,***,,,,
茨城県 石岡市,***,25688,***,,,,
茨城県 結城市,***,17677,***,,,,
茨城県 龍ケ崎市,***,14771,***,,,,
茨城県 下妻市,***,14741,***,,,,
茨城県 常総市,***,22547,***,,,,
茨城県 常陸太田市,***,18613,***,,,,
茨城県 高萩市,***,10709,***,,,,
茨城県 北茨城市,***,17504,***,,,,
茨城県 笠間市,***,23390,***,,,,
茨城県 取手市,***,20203,***,,,,
茨城県 牛久市,***,10728,***,,,,
茨城県 つくば市,***,56569,***,,,,
茨城県 ひたちなか市,***,46816,***,,,,
茨城県 鹿嶋市,***,20797,***,,,,
茨城県 潮来市,***,8950,***,,,,
茨城県 守谷市,***,6909,***,,,,
茨城県 常陸大宮市,***,18239,***,,,,
茨城県 那珂市,***,12721,***,,,,
茨城県 筑西市,***,40803,***,,,,
茨城県 坂東市,***,21954,***,,,,
茨城県 稲敷市,***,12519,***,,,,
茨城県 かすみがうら市,***,11413,***,,,,
茨城県 桜川市,***,18413,***,,,,
茨城県 神栖市,***,29567,***,,,,
茨城県 行方市,***,16039,***,,,,
茨城県 鉾田市,***,19569,***,,,,
茨城県 つくばみらい市,***,8614,***,,,,
茨城県 小美玉市,***,15930,***,,,,
茨城県 茨城町,***,11491,***,,,,
茨城県 大洗町,***,7042,***,,,,
茨城県 城里町,***,6973,***,,,,
茨城県 東海村,***,8965,***,,,,
茨城県 大子町,***,12260,***,,,,
茨城県 美浦村,***,4843,***,,,,
茨城県 阿見町,***,11321,***,,,,
茨城県 河内町,***,3155,***,,,,
茨城県 八千代町,***,8188,***,,,,
茨城県 五霞町,***,2816,***,,,,
茨城県 境町,***,10452,***,,,,
茨城県 利根町,***,2779,***,,,,
栃木県 宇都宮市,***,195348,***,,,,
栃木県 足利市,***,71045,***,,,,
栃木県 栃木市,***,56411,***,,,,
栃木県 佐野市,***,47296,***,,,,
栃木県 鹿沼市,***,42709,***,,,,
栃木県 日光市,***,38408,***,,,,
栃木県 小山市,***,54564,***,,,,
栃木県 真岡市,***,32509,***,,,,
栃木県 大田原市,***,29405,***,,,,
栃木県 矢板市,***,13308,***,,,,
栃木県 那須塩原市,***,36333,***,,,,
栃木県 さくら市,***,12021,***,,,,
栃木県 那須烏山市,***,12642,***,,,,
栃木県 下野市,***,13470,***,,,,
栃木県 上三川町,***,10346,***,,,,
栃木県 益子町,***,8114,***,,,,
栃木県 茂木町,***,7218,***,,,,
栃木県 市貝町,***,3770,***,,,,
栃木県 芳賀町,***,5553,***,,,,
栃木県 壬生町,***,12669,***,,,,
栃木県 野木町,***,5037,***,,,,
栃木県 塩谷町,***,4786,***,,,,
栃木県 高根沢町,***,6849,***,,,,
栃木県 那須町,***,11216,***,,,,
栃木県 那珂川町,***,8693,***,,,,
群馬県 前橋市,***,129412,***,,,,
群馬県 高崎市,***,120508,***,,,,
群馬県 桐生市,***,56567,***,,,,
群馬県 伊勢崎市,***,61963,***,,,,
群馬県 太田市,***,71232,***,,,,
群馬県 沼田市,***,22511,***,,,,
群馬県 館林市,***,27274,***,,,,
群馬県 渋川市,***,27865,***,,,,
群馬県 藤岡市,***,24179,***,,,,
群馬県 富岡市,***,22421,***,,,,
群馬県 安中市,***,22021,***,,,,
群馬県 みどり市,***,13786,***,,,,
群馬県 榛東村,***,3350,***,,,,
群馬県 吉岡町,***,2780,***,,,,
群馬県 上野村,***,808,***,,,,
群馬県 神流町,***,1680,***,,,,
群馬県 下仁田町,***,5332,***,,,,
群馬県 南牧村,***,1303,***,,,,
群馬県 甘楽町,***,4913,***,,,,
群馬県 中之条町,***,8452,***,,,,
群馬県 長野原町,***,2820,***,,,,
群馬県 嬬恋村,***,5668,***,,,,
群馬県 草津町,***,4931,***,,,,
群馬県 高山村,***,1434,***,,,,
群馬県 東吾妻町,***,7004,***,,,,
群馬県 片品村,***,2835,***,,,,
群馬県 川場村,***,1353,***,,,,
群馬県 昭和村,***,3060,***,,,,
群馬県 みなかみ町,***,11017,***,,,,
群馬県 玉村町,***,6045,***,,,,
群馬県 板倉町,***,5452,***,,,,
群馬県 明和町,***,2930,***,,,,
群馬県 千代田町,***,2979,***,,,,
群馬県 大泉町,***,15351,***,,,,
群馬県 邑楽町,***,6683,***,,,,
埼玉県 さいたま市,***,216883,***,,,,
埼玉県 さいたま市 西区,***,-,***,,,,
埼玉県 さいたま市 北区,***,-,***,,,,
埼玉県 さいたま市 大宮区,***,-,***,,,,
埼玉県 さいたま市 見沼区,***,-,***,,,,
埼玉県 さいたま市 中央区,***,-,***,,,,
埼玉県 さいたま市 桜区,***,-,***,,,,
埼玉県 さいたま市 浦和区,***,-,***,,,,
埼玉県 さいたま市 南区,***,-,***,,,,
埼玉県 さいたま市 緑区,***,-,***,,,,
埼玉県 さいたま市 岩槻区,***,-,***,,,,
埼玉県 川越市,***,76484,***,,,,
埼玉県 熊谷市,***,60598,***,,,,
埼玉県 川口市,***,127340,***,,,,
埼玉県 行田市,***,26159,***,,,,
埼玉県 秩父市,***,26635,***,,,,
埼玉県 所沢市,***,60184,***,,,,
埼玉県 飯能市,***,19346,***,,,,
埼玉県 加須市,***,26321,***,,,,
埼玉県 本庄市,***,25030,***,,,,
埼玉県 東松山市,***,22685,***,,,,
埼玉県 春日部市,***,41289,***,,,,
埼玉県 狭山市,***,36116,***,,,,
埼玉県 羽生市,***,17141,***,,,,
埼玉県 鴻巣市,***,22033,***,,,,
埼玉県 深谷市,***,43586,***,,,,
埼玉県 上尾市,***,41303,***,,,,
埼玉県 草加市,***,43904,***,,,,
埼玉県 越谷市,***,60003,***,,,,
埼玉県 蕨市,***,11427,***,,,,
埼玉県 戸田市,***,23881,***,,,,
埼玉県 入間市,***,28258,***,,,,
埼玉県 朝霞市,***,21343,***,,,,
埼玉県 志木市,***,9405,***,,,,
埼玉県 和光市,***,8738,***,,,,
埼玉県 新座市,***,24328,***,,,,
埼玉県 桶川市,***,12183,***,,,,
埼玉県 久喜市,***,25919,***,,,,
埼玉県 北本市,***,10807,***,,,,
埼玉県 八潮市,***,21883,***,,,,
埼玉県 富士見市,***,14249,***,,,,
埼玉県 三郷市,***,29640,***,,,,
埼玉県 蓮田市,***,10102,***,,,,
埼玉県 坂戸市,***,18094,***,,,,
埼玉県 幸手市,***,11086,***,,,,
埼玉県 鶴ヶ島市,***,9009,***,,,,
埼玉県 日高市,***,11190,***,,,,
埼玉県 吉川市,***,10759,***,,,,
埼玉県 ふじみ野市,***,16053,***,,,,
埼玉県 白岡市,***,6545,***,,,,
埼玉県 伊奈町,***,5297,***,,,,
埼玉県 三芳町,***,6814,***,,,,
埼玉県 毛呂山町,***,8514,***,,,,
埼玉県 越生町,***,2973,***,,,,
埼玉県 滑川町,***,2455,***,,,,
埼玉県 嵐山町,***,3542,***,,,,
埼玉県 小川町,***,8626,***,,,,
埼玉県 川島町,***,5228,***,,,,
埼玉県 吉見町,***,4681,***,,,,
