area,year,inside,out_in,outside
埼玉県 さいたま市 桜区,2000年度,-,-,-
埼玉県 さいたま市 浦和区,2000年度,-,-,-
埼玉県 さいたま市 南区,2000年度,-,-,-
埼玉県 さいたま市 緑区,2000年度,-,-,-
埼玉県 さいたま市 岩槻区,2000年度,-,-,-
埼玉県 川越市,2000年度,"84,381","43,592","39,310"
埼玉県 熊谷市,2000年度,"56,887",-,"11,957"
埼玉県 川口市,2000年度,"131,594",-,"92,401"
埼玉県 行田市,2000年度,"24,039",-,"4,776"
埼玉県 秩父市,2000年度,"24,095",-,720
埼玉県 所沢市,2000年度,"69,925","20,349","70,568"
埼玉県 飯能市,2000年度,"19,108",-,"10,013"
埼玉県 加須市,2000年度,"27,393",-,"9,520"
埼玉県 本庄市,2000年度,"22,519",-,"5,132"
埼玉県 東松山市,2000年度,"23,096","16,291","6,018"
埼玉県 春日部市,2000年度,"45,652",-,"39,699"
埼玉県 狭山市,2000年度,"37,957","20,284","24,176"
埼玉県 羽生市,2000年度,"16,775","9,075","3,158"
埼玉県 鴻巣市,2000年度,"22,029",-,"12,226"
埼玉県 深谷市,2000年度,"42,432",-,"6,208"
埼玉県 上尾市,2000年度,"44,726","36,878","27,188"
埼玉県 草加市,2000年度,"47,541","18,056","52,769"
埼玉県 越谷市,2000年度,"69,311","29,472","58,915"
埼玉県 蕨市,2000年度,"10,818","10,008","15,892"
埼玉県 戸田市,2000年度,"24,791","9,194","23,409"
埼玉県 入間市,2000年度,"30,500","18,225","23,766"
埼玉県 朝霞市,2000年度,"21,775","12,295","29,278"
埼玉県 志木市,2000年度,"10,307","8,938","14,116"
埼玉県 和光市,2000年度,"12,355","4,165","20,824"
埼玉県 新座市,2000年度,"28,597","13,117","37,497"
埼玉県 桶川市,2000年度,"12,689","15,733","8,980"
埼玉県 久喜市,2000年度,"26,536",-,"19,538"
埼玉県 北本市,2000年度,"12,384","14,426","8,184"
埼玉県 八潮市,2000年度,"22,537","6,026","11,666"
埼玉県 富士見市,2000年度,"15,994","17,892","20,555"
埼玉県 三郷市,2000年度,"32,817","9,740","27,527"
埼玉県 蓮田市,2000年度,"10,198","12,289","9,800"
埼玉県 坂戸市,2000年度,"18,726","21,002","10,112"
埼玉県 幸手市,2000年度,"11,143","9,177","8,279"
埼玉県 鶴ヶ島市,2000年度,"10,247","16,231","8,353"
埼玉県 日高市,2000年度,"11,310","11,275","4,665"
埼玉県 吉川市,2000年度,"12,119","8,661","9,404"
埼玉県 ふじみ野市,2000年度,"15,550",-,"17,056"
埼玉県 白岡市,2000年度,"7,218","9,217","6,869"
埼玉県 伊奈町,2000年度,"6,024","7,935","3,232"
埼玉県 三芳町,2000年度,"7,320","5,340","6,153"
埼玉県 毛呂山町,2000年度,"8,393","8,179","2,421"
